minutes,cond_uS_cm,nh4_ugL,srp_ugL
24.0,143.51,25.15,10.77
24.25,141.37,24.75,11.58
24.5,141.25,23.27,10.21
24.75,140.14,21.95,10.23
25.0,139.38,24.9,10.56
25.25,139.68,21.64,10.23
25.5,136.26,22.35,9.91
25.75,135.93,23.8,9.81
26.0,133.84,21.82,9.15
26.25,135.43,21.35,9.38
26.5,132.33,19.21,9.42
26.75,135.72,22.24,9.78
27.0,131.11,20.67,7.78
27.25,134.96,19.79,8.02
27.5,134.91,19.93,7.52
27.75,132.35,18.13,8.39
28.0,130.97,20.18,7.5
28.25,131.47,20.4,7.68
28.5,130.92,18.39,7.63
28.75,131.05,18.03,7.4
29.0,132.0,18.57,7.68
29.25,128.77,16.63,8.28
29.5,129.02,17.79,7.48
29.75,129.61,16.96,7.86
30.0,128.34,17.81,7.73
30.25,128.13,15.77,6.84
30.5,127.1,15.46,7.66
30.75,127.67,18.11,8.29
31.0,127.51,14.52,6.88
31.25,127.15,14.44,6.87
31.5,127.36,15.42,6.55
31.75,125.89,17.76,6.78
32.0,125.6,15.25,7.28
32.25,125.58,16.06,7.1
32.5,127.11,16.95,6.4
32.75,127.39,14.42,6.42
33.0,127.3,16.09,6.57
33.25,124.27,15.69,6.2
33.5,124.44,14.26,6.59
33.75,122.86,15.27,6.51
34.0,124.56,15.92,6.68
34.25,124.4,13.96,6.68
34.5,123.18,14.24,5.97
34.75,124.96,14.76,6.26
35.0,126.12,14.69,6.05
35.25,123.19,15.16,6.43
35.5,126.28,13.47,6.14
35.75,124.36,14.13,6.1
36.0,122.28,15.06,6.39
36.25,125.59,16.57,5.87
36.5,124.1,14.04,6.97
36.75,121.98,14.5,5.23
37.0,120.88,11.69,5.25
37.25,125.17,12.9,5.79
37.5,122.42,14.48,5.33
37.75,125.32,12.66,5.47
38.0,123.81,13.73,6.54
38.25,123.74,12.33,5.53
38.5,122.84,14.41,5.98
38.75,123.32,14.53,5.5
39.0,123.24,13.73,6.5
39.25,123.22,13.1,5.2
39.5,124.11,12.8,5.87
39.75,120.94,14.56,5.01
40.0,122.24,14.54,4.99
40.25,123.02,13.42,5.14
40.5,124.68,14.96,4.64
40.75,121.28,14.16,4.96
41.0,122.51,13.39,5.94
41.25,122.66,13.32,5.19
41.5,124.43,12.64,5.73
41.75,122.22,13.27,5.46
42.0,122.6,12.01,5.93
42.25,124.45,13.37,5.89
42.5,123.72,14.1,5.66
42.75,122.93,14.01,5.53
43.0,121.47,13.06,4.54
43.25,122.6,13.46,6.09
43.5,122.75,14.01,5.46
43.75,121.31,11.41,4.96
44.0,120.86,13.64,5.33
44.25,123.15,13.01,5.95
44.5,123.71,12.2,5.28
44.75,121.77,11.11,5.74
45.0,123.8,12.86,5.15
45.25,123.66,10.27,5.48
45.5,122.49,12.21,6.08
45.75,123.45,12.53,5.33
46.0,121.8,12.24,4.71
46.25,123.89,13.92,5.75
46.5,120.9,15.06,6.34
46.75,122.41,11.77,4.91
47.0,122.66,11.74,5.32
47.25,123.44,11.08,6.33
47.5,123.99,11.36,4.61
47.75,121.75,11.58,5.18
48.0,118.97,12.45,6.21
48.25,120.7,12.39,4.56
48.5,122.79,12.43,6.26
48.75,122.25,12.25,5.56
49.0,121.37,11.18,5.43
49.25,121.75,12.82,5.47
49.5,121.33,13.1,6.14
49.75,120.59,14.53,5.15
50.0,120.98,15.28,5.34
50.25,123.53,13.5,4.42
50.5,122.01,12.02,4.58
50.75,119.72,12.7,5.54
51.0,122.3,12.24,4.84
51.25,120.62,11.96,4.72
51.5,121.55,12.53,4.79
51.75,121.5,11.72,5.23
52.0,122.37,12.74,5.46
52.25,119.76,12.12,5.36
52.5,122.5,10.77,5.3
52.75,123.16,12.33,5.17
53.0,122.24,12.79,5.55
53.25,121.77,12.68,4.82
53.5,121.46,13.88,5.1
53.75,121.45,11.95,5.6
54.0,120.61,13.49,4.73
54.25,120.35,12.71,5.26
54.5,121.96,13.65,4.99
54.75,122.12,11.47,5.82
55.0,122.34,13.06,5.28
55.25,120.62,12.1,5.44
55.5,121.53,12.59,4.5
55.75,121.76,11.69,4.64
56.0,121.34,10.4,5.53
56.25,122.54,12.38,4.68
56.5,120.37,12.27,3.96
56.75,121.71,13.16,5.01
57.0,120.88,12.62,5.34
57.25,122.78,12.44,4.82
57.5,120.9,12.61,5.94
57.75,121.06,11.25,4.73
58.0,118.91,12.77,4.48
58.25,119.94,10.23,4.6
58.5,122.09,10.95,4.28
58.75,121.61,12.02,5.37
59.0,122.27,12.38,4.5
59.25,121.23,12.94,4.86
59.5,119.64,13.59,4.94
59.75,120.86,12.4,5.66
60.0,121.66,12.01,5.48
